"Gender","Weight","LegLen","Power1","Power2","Power3"
"Female",54,0.9300000071525574,838.0399780273438,1022.409973144531,1232.670043945313
"Female",50,0.9300000071525574,1007.109985351563,1075.77001953125,1043.25
"Female",58,1.070000052452087,900.1199951171875,900.1199951171875,987.9299926757813
"Female",56,0.9399999976158142,1039.489990234375,768.3200073242188,1073.699951171875
"Female",50,0.9399999976158142,816.0999755859375,860.6199951171875,943.7000122070313
"Female",64,0.9850000143051148,841.489990234375,993.239990234375,953.3400268554688
"Female",55,0.8849999904632568,754.5999755859375,853.5599975585938,829.22998046875
"Female",58,0.9399999976158142,795.760009765625,795.760009765625,775.7899780273438
"Female",54,0.9200000166893005,740.8800048828125,881.3900146484375,887.6900024414063
"Female",60,0.8999999761581421,1032.739990234375,1051.869995117188,1086.7900390625
"Female",46,0.8650000095367432,669.9600219726563,659.8099975585938,670.1099853515625
"Female",58,1.039999961853027,752.1599731445313,762.5999755859375,845.8699951171875
"Female",64,1.009999990463257,917.989990234375,932.1199951171875,905.3499755859375
"Female",62,1.059999942779541,962.2000122070313,902.989990234375,1015.559997558594
"Female",56.5,0.9739999771118164,810.4199829101563,990.510009765625,1009.989990234375
"Male",65,1.120000004768372,1309.239990234375,1309.239990234375,1583.22998046875
"Male",76,1.100000023841858,1410.739990234375,1530.800048828125,1745.5400390625
"Male",85,1.110000014305115,1577.800048828125,1609.359985351563,1854.449951171875
"Male",69,1.039999961853027,1389.81005859375,1389.81005859375,1492.300048828125
"Male",81,1.039999961853027,1533.619995117188,1631.510009765625,1598.550048828125
"Male",66,1.009999990463257,1329.380004882813,1329.380004882813,1440.930053710938
"Male",65,0.9649999737739563,1230.680053710938,1309.239990234375,1362.760009765625
"Male",63,1.009999990463257,1192.819946289063,1268.949951171875,1213.900024414063
"Male",79,1.024999976158142,1466.430053710938,1739.25,1543.640014648438
"Male",73,1.159999966621399,1191.510009765625,1470.380004882813,1613.280029296875
"Male",66,1.049999952316284,1136.02001953125,1453.0400390625,1681.680053710938
"Male",75,1.039999961853027,1420.02001953125,1420.02001953125,1582.969970703125
"Male",64.5,0.9850000143051148,1052.77001953125,1221.219970703125,1352.68994140625
"Male",74.5,1.080000042915344,1306.069946289063,1500.589965820313,1506.930053710938
"Male",76,1.052000045776367,1564.079956054688,1635.170043945313,1895.099975585938
